sensor_a,sensor_b,abs_correlation
sensor_074,sensor_209,1.0
sensor_581,sensor_589,1.0
sensor_492,sensor_545,1.0
sensor_209,sensor_342,1.0
sensor_579,sensor_587,1.0
sensor_209,sensor_347,1.0
sensor_220,sensor_543,1.0
sensor_206,sensor_209,1.0
sensor_580,sensor_588,1.0
sensor_358,sensor_544,1.0
sensor_578,sensor_586,1.0
sensor_074,sensor_342,1.0
sensor_342,sensor_347,1.0
sensor_074,sensor_347,1.0
sensor_085,sensor_542,1.0
sensor_074,sensor_478,1.0
sensor_209,sensor_478,1.0
sensor_206,sensor_478,0.9999999999999999
sensor_206,sensor_347,0.9999999999999999
sensor_347,sensor_478,0.9999999999999997
sensor_074,sensor_206,0.9999999999999996
sensor_206,sensor_342,0.9999999999999991
sensor_342,sensor_478,0.9999999999999989
sensor_034,sensor_036,0.9999999997052141
sensor_140,sensor_275,0.9999999763805113
sensor_172,sensor_174,0.9999998114016182
sensor_307,sensor_309,0.9999994239853192
sensor_152,sensor_287,0.9999970976317966
sensor_244,sensor_382,0.9999952134418468
sensor_244,sensor_516,0.9999920899256758
sensor_252,sensor_390,0.9999914227740377
sensor_382,sensor_516,0.9999896467215472
sensor_004,sensor_275,0.9999755698304479
sensor_004,sensor_140,0.9999751247610738
sensor_246,sensor_518,0.9999416198047899
sensor_251,sensor_389,0.9999393815150169
sensor_249,sensor_387,0.9999383781646553
sensor_583,sensor_585,0.9998896745944834
sensor_176,sensor_447,0.9998871452073365
sensor_389,sensor_523,0.9998565225634892
sensor_268,sensor_540,0.999837307568869
sensor_251,sensor_523,0.9998371595428934
sensor_248,sensor_520,0.999731811527691
sensor_147,sensor_282,0.9995955653522277
sensor_245,sensor_517,0.9995375994243346
sensor_177,sensor_448,0.9995369413388322
sensor_187,sensor_459,0.9995276925734266
sensor_148,sensor_283,0.9995218286822916
sensor_175,sensor_446,0.9994829487948601
sensor_253,sensor_525,0.9993620852658534
sensor_147,sensor_420,0.9993363915870238
sensor_195,sensor_467,0.9992729354838443
sensor_384,sensor_518,0.999266985628233
sensor_254,sensor_526,0.9992562452131024
sensor_246,sensor_384,0.9991967406028222
sensor_135,sensor_408,0.9991662845035238
sensor_181,sensor_453,0.9991299429621897
sensor_221,sensor_493,0.9989352206061557
sensor_282,sensor_420,0.9988349382002644
sensor_148,sensor_421,0.9988153783986553
sensor_383,sensor_517,0.9987497194840106
sensor_245,sensor_383,0.998748443708836
sensor_551,sensor_557,0.9987443729017013
sensor_154,sensor_427,0.9987198187121333
sensor_172,sensor_443,0.998534053622862
sensor_174,sensor_443,0.998531044276335
sensor_143,sensor_416,0.9983535268348295
sensor_156,sensor_429,0.9982487349306528
sensor_267,sensor_539,0.9982445750948952
sensor_153,sensor_288,0.9982217992904817
sensor_360,sensor_494,0.9981143304161469
sensor_197,sensor_469,0.9980749190305599
sensor_550,sensor_556,0.9980262739446043
sensor_248,sensor_386,0.998017091964614
sensor_138,sensor_411,0.9979823996066931
sensor_183,sensor_455,0.9979569278279226
sensor_283,sensor_421,0.9978742631844316
sensor_255,sensor_527,0.9978308439843415
sensor_386,sensor_520,0.9977187993513671
sensor_136,sensor_409,0.9975306961053614
sensor_551,sensor_554,0.9972854328249978
sensor_207,sensor_479,0.9972283290794736
sensor_177,sensor_312,0.9971297572419812
sensor_198,sensor_470,0.9970906141746316
sensor_174,sensor_445,0.9970738966109522
sensor_172,sensor_445,0.9970695750513238
sensor_203,sensor_475,0.9970208654714707
sensor_222,sensor_494,0.9969021470697893
sensor_185,sensor_457,0.9967773319711002
sensor_164,sensor_299,0.9967245378280004
sensor_312,sensor_448,0.9966938271529345
sensor_223,sensor_495,0.996676925775887
sensor_160,sensor_295,0.9964804116578487
sensor_165,sensor_300,0.9963159687925737
sensor_219,sensor_491,0.9962413539123953
sensor_435,sensor_436,0.9962159785517333
sensor_564,sensor_568,0.9960828549317595
sensor_137,sensor_410,0.9958138223714482
sensor_252,sensor_524,0.9958043409065607
sensor_169,sensor_440,0.9957217269246026
sensor_153,sensor_426,0.9957198980645308
sensor_224,sensor_362,0.9957100391941048
sensor_390,sensor_524,0.9956676752306483
sensor_554,sensor_557,0.9956648335104197
sensor_155,sensor_428,0.9955014289395727
sensor_584,sensor_585,0.9953417833612735
sensor_549,sensor_552,0.9953246070646455
sensor_213,sensor_351,0.9950937736383662
sensor_170,sensor_441,0.9949854256795815
sensor_572,sensor_576,0.9947721462418854
sensor_583,sensor_584,0.994770985689087
sensor_161,sensor_296,0.9946485928894568
sensor_288,sensor_426,0.9944315197431048
sensor_180,sensor_452,0.9944279958815114
sensor_185,sensor_321,0.9942440963683833
sensor_154,sensor_289,0.9939290597516538
sensor_157,sensor_292,0.993880193410186
sensor_173,sensor_444,0.993856721934058
sensor_572,sensor_574,0.9936889370646438
sensor_434,sensor_435,0.9936648745605896
sensor_212,sensor_350,0.9935343473973237
sensor_163,sensor_298,0.9933923566636537
sensor_289,sensor_427,0.9932638139528073
sensor_144,sensor_417,0.9932605213388946
sensor_159,sensor_294,0.9932395425046514
sensor_516,sensor_518,0.993148134952338
sensor_244,sensor_518,0.9931034234322028
sensor_382,sensor_518,0.9930997564338822
sensor_225,sensor_497,0.9930712184247222
sensor_156,sensor_291,0.9930169405207437
sensor_142,sensor_415,0.9926143870057562
sensor_384,sensor_516,0.9926026843101774
sensor_244,sensor_384,0.9925533554924781
sensor_382,sensor_384,0.9925462135133023
sensor_492,sensor_543,0.9924314886459403
sensor_220,sensor_545,0.9924314886459402
sensor_220,sensor_492,0.9924314886459402
sensor_434,sensor_436,0.9923330260757875
sensor_246,sensor_516,0.991889678683359
sensor_244,sensor_246,0.9918471187271654
sensor_246,sensor_382,0.9918425158456027
sensor_283,sensor_287,0.9917872723019745
sensor_152,sensor_283,0.9917758704540925
sensor_574,sensor_576,0.9917381386924827
sensor_093,sensor_106,0.9917059052253019
sensor_205,sensor_341,0.9916970066502375
sensor_443,sensor_445,0.991491539739063
sensor_291,sensor_429,0.9914294618730318
sensor_184,sensor_320,0.9913047453517877
sensor_148,sensor_287,0.9910772766064062
sensor_148,sensor_152,0.9910696114881997
sensor_202,sensor_338,0.9910117969269795
sensor_222,sensor_360,0.9907530381860485
sensor_543,sensor_545,0.9902529398191405
sensor_321,sensor_457,0.9902349533364798
sensor_099,sensor_104,0.9902291861934458
sensor_166,sensor_437,0.9901707034186464
sensor_151,sensor_286,0.990003198839074
sensor_267,sensor_405,0.9898785503676683
sensor_092,sensor_105,0.9892400134714862
sensor_182,sensor_454,0.9890820509449031
sensor_565,sensor_567,0.9889826223266864
sensor_211,sensor_349,0.9886758542873777
sensor_339,sensor_475,0.988403638340958
sensor_162,sensor_297,0.9884014877258668
sensor_254,sensor_392,0.988397353402844
sensor_341,sensor_477,0.988219288527974
sensor_323,sensor_459,0.9882047019452225
sensor_187,sensor_323,0.9881815316160744
sensor_333,sensor_469,0.9873069224156233
sensor_217,sensor_355,0.9872908993404127
sensor_171,sensor_306,0.9872003574538425
sensor_253,sensor_391,0.987184606280071
sensor_405,sensor_539,0.9869254822153953
sensor_391,sensor_525,0.9867473336391868
sensor_392,sensor_526,0.9867453264836273
sensor_205,sensor_477,0.9866216754851598
sensor_198,sensor_334,0.9865835338216216
sensor_117,sensor_390,0.9862339054518431
sensor_117,sensor_252,0.9861933657838748
sensor_250,sensor_522,0.9859708058369511
sensor_139,sensor_274,0.9857281443608054
sensor_255,sensor_393,0.9854530337099374
sensor_204,sensor_340,0.9853734316133753
sensor_207,sensor_343,0.9847308409275807
sensor_559,sensor_561,0.9840869994551897
sensor_287,sensor_421,0.9835964608766224
sensor_152,sensor_421,0.9835909497899507
sensor_564,sensor_566,0.9831451962048957
sensor_203,sensor_339,0.9827091137191309
sensor_345,sensor_346,0.9826212111907281
sensor_197,sensor_333,0.9825963154934173
sensor_319,sensor_455,0.9824684907766463
sensor_334,sensor_470,0.9824305550773512
sensor_183,sensor_319,0.982189987666006
sensor_393,sensor_527,0.9818283505091796
sensor_182,sensor_318,0.980827470070162
sensor_025,sensor_027,0.9803753833240917
sensor_218,sensor_490,0.9803379721769944
sensor_573,sensor_575,0.9802654170338577
sensor_550,sensor_553,0.9801175941570106
