built_in_rank,feature,importance,permutation_rank,permutation_importance_mean,permutation_importance_std
3.0,sensor_064,0.007860588265942091,1.0,0.02380417619863427,0.01298880842965727
5.0,sensor_065,0.006011456418570664,2.0,0.01216416687680214,0.009940703688787383
,sensor_037,,3.0,0.009071178378164197,0.002910915324180602
7.0,sensor_028,0.005650567207877198,4.0,0.005931581422796534,0.006846337574196971
29.0,sensor_419,0.003657330221631629,5.0,0.005791559077959796,0.003499475511230309
,sensor_076,,6.0,0.005696243204886492,0.0029243835894089973
,sensor_210,,7.0,0.005568897449701643,0.0036637105526090524
,sensor_031,,8.0,0.005166777412462242,0.0028459782139339937
,sensor_295,,9.0,0.00493486082242785,0.0012049128937439062
27.0,sensor_125,0.0037377615690582676,10.0,0.00470850407152879,0.0047287033501027965
,sensor_490,,11.0,0.004558597570232509,0.003122964267719546
,sensor_455,,12.0,0.004429140841301355,0.0007130128726134243
24.0,sensor_499,0.0037876083875979134,13.0,0.004327440572810548,0.0039371161254104295
,sensor_197,,14.0,0.004270217606964477,0.002186469912751148
1.0,sensor_129,0.009226554940262359,15.0,0.0038675873666840057,0.005702581843290269
,sensor_431,,16.0,0.0037695381740612045,0.0009191145429489644
,sensor_429,,17.0,0.0037240422700030194,0.0038688197428208503
23.0,sensor_510,0.0038094496821150176,18.0,0.0035424355188384436,0.0018100144941782467
,sensor_587,,19.0,0.003466815785558741,0.0025774895365754252
,sensor_100,,20.0,0.003343587337884213,0.000551042802313979
,sensor_218,,21.0,0.003281019298857346,0.006305716915152856
14.0,sensor_316,0.004292811580407701,22.0,0.003192822162526998,0.0033530120701372916
,sensor_161,,23.0,0.002994305377293405,0.0034000062516808473
,sensor_441,,24.0,0.002856366798282145,0.0017809200213474042
,sensor_146,,25.0,0.0028450927258256986,0.0027158912226587554
,sensor_175,,26.0,0.0028247393726325565,0.004929796598158097
,sensor_200,,27.0,0.002635245459033536,0.002282275722428163
,sensor_484,,28.0,0.002582391758973207,0.006960955379769673
,sensor_061,,29.0,0.0025562468550564487,0.00211153453898235
,sensor_066,,30.0,0.002493867278365558,0.0026071452369164066
2.0,sensor_511,0.008026728007396424,,,
4.0,sensor_059,0.006802179197031756,,,
6.0,sensor_103,0.005897679253016853,,,
8.0,sensor_122,0.004884487679668395,,,
9.0,sensor_130,0.004874249047959012,,,
10.0,sensor_452,0.004634935146729528,,,
11.0,sensor_489,0.0044315194583647135,,,
12.0,sensor_172,0.004362864093230214,,,
13.0,sensor_000,0.004295352851788438,,,
15.0,sensor_180,0.004186930734215164,,,
16.0,sensor_127,0.004103208075942351,,,
17.0,sensor_055,0.003975659030900057,,,
18.0,sensor_124,0.003947727170603379,,,
19.0,sensor_571,0.003942961405810169,,,
20.0,sensor_174,0.003941275108603959,,,
21.0,sensor_488,0.003930132332709697,,,
22.0,sensor_477,0.003886213640522122,,,
25.0,sensor_468,0.003782039084279005,,,
26.0,sensor_078,0.0037766781736478234,,,
28.0,sensor_143,0.0037106875210625055,,,
30.0,sensor_377,0.003628205189079566,,,
