band_index,band,sample_count,fail_count,fail_rate,review_rate,cumulative_samples,cumulative_fail_count,cumulative_review_rate,cumulative_fail_capture_rate,score_min,score_max
1,top_10_percent,31,6,0.1935483870967742,0.09872611464968153,31,6,0.09872611464968153,0.2857142857142857,0.1388204295341071,0.23756933011066644
2,10_20_percent,31,5,0.16129032258064516,0.09872611464968153,62,11,0.19745222929936307,0.5238095238095238,0.11371660866238709,0.13777583651939398
3,20_30_percent,32,5,0.15625,0.10191082802547771,94,16,0.29936305732484075,0.7619047619047619,0.09763030762194044,0.11271776998528915
4,30_40_percent,31,0,0.0,0.09872611464968153,125,16,0.3980891719745223,0.7619047619047619,0.08411111420282301,0.09715733072714682
5,40_50_percent,32,3,0.09375,0.10191082802547771,157,19,0.5,0.9047619047619048,0.07839158346731782,0.08346272440643386
6,50_60_percent,31,1,0.03225806451612903,0.09872611464968153,188,20,0.5987261146496815,0.9523809523809523,0.0703396600373631,0.0781172832951626
7,60_70_percent,31,0,0.0,0.09872611464968153,219,20,0.697452229299363,0.9523809523809523,0.06244350689727253,0.07024767807947499
8,70_80_percent,32,0,0.0,0.10191082802547771,251,20,0.7993630573248408,0.9523809523809523,0.05493616348793617,0.061020803934633445
9,80_90_percent,31,1,0.03225806451612903,0.09872611464968153,282,21,0.8980891719745223,1.0,0.045499949921766654,0.05478774960150312
10,90_100_percent,32,0,0.0,0.10191082802547771,314,21,1.0,1.0,0.022571090860882697,0.045436176482030875
